query,cost
"SELECT latitude, longitude FROM tweets WHERE CAST(DATE_TRUNC('QUARTER', CAST(created_at AS DATE)) AS DATE) = TIMESTAMP '2021-10-01 00:00:00.000' AND created_at >= TIMESTAMP '2020-01-01 00:00:00.000' AND created_at <= TIMESTAMP '2022-12-31 11:59:59.000'",1727144.67
"SELECT latitude, longitude FROM tweets WHERE DATE_TRUNC('QUARTER', created_at) = TIMESTAMP '2021-10-01 00:00:00.000' AND created_at >= TIMESTAMP '2020-01-01 00:00:00.000' AND created_at <= TIMESTAMP '2022-12-31 11:59:59.000'",169959.5
"SELECT state_name FROM tweets WHERE CAST(DATE_TRUNC('QUARTER', CAST(created_at AS DATE)) AS DATE) = TIMESTAMP '2021-10-01 00:00:00.000' AND created_at >= TIMESTAMP '2020-01-01 00:00:00.000' AND created_at <= TIMESTAMP '2022-12-31 11:59:59.000'",1727144.67
"SELECT state_name FROM tweets WHERE DATE_TRUNC('QUARTER', created_at) = TIMESTAMP '2021-10-01 00:00:00.000' AND created_at >= TIMESTAMP '2020-01-01 00:00:00.000' AND created_at <= TIMESTAMP '2022-12-31 11:59:59.000'",169959.5
"SELECT state_name FROM tweets WHERE CAST(DATE_TRUNC('QUARTER', CAST(created_at AS DATE)) AS DATE) = TIMESTAMP '2021-04-01 00:00:00.000' AND created_at >= TIMESTAMP '2020-01-01 00:00:00.000' AND created_at <= TIMESTAMP '2022-12-31 11:59:59.000'",1727144.67
"SELECT state_name FROM tweets WHERE DATE_TRUNC('QUARTER', created_at) = TIMESTAMP '2021-04-01 00:00:00.000' AND created_at >= TIMESTAMP '2020-01-01 00:00:00.000' AND created_at <= TIMESTAMP '2022-12-31 11:59:59.000'",169959.5
"SELECT state_name FROM tweets WHERE CAST(DATE_TRUNC('QUARTER', CAST(created_at AS DATE)) AS DATE) = TIMESTAMP '2021-04-01 00:00:00.000' AND created_at >= TIMESTAMP '2021-01-01 00:00:00.000' AND created_at <= TIMESTAMP '2022-12-31 11:59:59.000'",1727144.67
"SELECT state_name FROM tweets WHERE DATE_TRUNC('QUARTER', created_at) = TIMESTAMP '2021-04-01 00:00:00.000' AND created_at >= TIMESTAMP '2021-01-01 00:00:00.000' AND created_at <= TIMESTAMP '2022-12-31 11:59:59.000'",169959.5
"SELECT state_name FROM tweets WHERE CAST(DATE_TRUNC('QUARTER', CAST(created_at AS DATE)) AS DATE) = TIMESTAMP '2021-04-01 00:00:00.000' AND created_at >= TIMESTAMP '2021-01-01 00:00:00.000' AND created_at <= TIMESTAMP '2022-07-31 11:59:59.000'",1727144.67
"SELECT state_name FROM tweets WHERE DATE_TRUNC('QUARTER', created_at) = TIMESTAMP '2021-04-01 00:00:00.000' AND created_at >= TIMESTAMP '2021-01-01 00:00:00.000' AND created_at <= TIMESTAMP '2022-07-31 11:59:59.000'",169959.5